"","sex","age","race","hispanic_origin","citizenship","nativity","marital","family_size","children","education_level","english_level","salary","hours_worked","weeks_worked","occupation","industry","economic_region"
"1","female",39,"white","no",1,"native","divorced",1,0,21,0,66000,40,49,"29-1141","623M","Southeast"
"2","male",25,"other","yes",1,"native","never married",1,0,21,1,40000,45,49,"25-2020","6111","Rocky Mountain"
"3","female",52,"black","no",1,"native","married",3,0,21,0,20400,10,49,"25-2020","6111","Rocky Mountain"
"4","female",26,"white","yes",1,"native","never married",1,0,22,1,55000,35,49,"25-2020","6111","Far West"
"5","male",61,"other","yes",1,"native","never married",1,0,16,1,1200,1,49,"43-5052","491","Southeast"
"6","female",60,"white","no",1,"native","divorced",2,0,16,0,63000,40,49,"43-6014","6111","Great Lakes"
"7","male",49,"white","no",1,"native","never married",3,0,16,0,36700,38,49,"43-4071","9211MP","Southeast"
"8","female",53,"black","no",1,"native","never married",3,0,16,0,1200,25,49,"43-4051","6111","Southeast"
"9","male",53,"white","no",1,"native","married",4,0,18,0,80000,40,49,"17-302X","928P","New England"
"10","male",47,"white","no",1,"native","married",3,0,19,0,36000,40,49,"33-3050","92MP","Southeast"
"11","female",59,"black","no",1,"native","married",2,0,20,0,62000,36,49,"25-2020","6111","Rocky Mountain"
"12","male",49,"white","no",1,"native","married",4,2,19,0,70000,40,49,"33-3012","92MP","Far West"
"13","male",27,"black","no",1,"native","never married",1,-1,19,0,25000,50,49,"55-3010","928110P1","Southeast"
"14","male",38,"white","no",1,"native","married",3,1,21,0,135000,40,49,"33-1012","92MP","Mideast"
"15","male",30,"white","no",1,"native","married",4,2,22,0,30000,45,49,"25-2030","611M1","Far West"
"16","female",44,"white","no",1,"native","married",4,2,21,0,40000,40,26,"25-2020","6111","Rocky Mountain"
"17","male",26,"mix","no",1,"native","never married",1,0,19,0,48000,40,49,"37-3011","56173","Far West"
"18","male",32,"white","no",1,"native","married",3,1,16,0,75000,40,49,"33-2011","113M","Far West"
"19","male",25,"white","no",1,"native","married",2,0,16,0,60000,70,49,"47-2152","2212P","Rocky Mountain"
"20","female",47,"white","no",1,"native","married",5,3,22,0,130000,50,49,"11-9030","6111","Mideast"
"21","female",25,"white","no",1,"native","never married",1,0,22,0,17000,40,26,"21-1013","923","Southeast"
"22","male",33,"white","no",1,"native","never married",1,0,23,0,432000,60,49,"23-1012","92MP","Great Lakes"
"23","female",46,"white","no",1,"native","never married",1,0,22,0,55000,40,49,"25-2020","6111","Southeast"
"24","male",51,"white","no",1,"native","married",3,1,21,0,77000,45,49,"11-3121","611M1","Far West"
"25","female",46,"white","yes",5,"foreign-born","married",7,1,16,3,3000,40,0,"37-201X","6111","Southwest"
"26","female",35,"mix","yes",1,"native","married",4,2,19,1,80000,80,49,"55-9830","928110P3","Far West"
"27","male",55,"white","no",1,"native","divorced",2,1,16,0,62000,40,49,"33-3050","92MP","Southeast"
"28","female",62,"black","no",1,"native","widowed",5,0,19,0,16000,40,49,"33-3012","92MP","Southeast"
"29","female",61,"black","no",1,"native","married",3,0,20,0,19000,40,49,"25-9040","6111","Southeast"
"30","female",27,"other","yes",1,"native","never married",3,0,18,1,5800,12,49,"31-1122","923","Far West"
"31","female",37,"mix","no",1,"native","married",7,4,21,0,79000,40,49,"13-2031","9211MP","Mideast"
"32","female",56,"mix","yes",4,"foreign-born","married",2,0,20,1,40000,40,26,"43-3031","6111","Southwest"
"33","female",51,"white","no",1,"native","divorced",2,0,21,0,45000,38,49,"43-6014","2213M","Plains"
"34","female",48,"white","no",1,"native","married",4,0,21,0,60000,40,49,"11-9030","6244","Far West"
"35","female",50,"white","no",1,"native","married",3,0,20,0,42000,40,39,"43-6014","6111","Far West"
"36","female",49,"black","no",1,"native","never married",2,1,19,0,51000,40,49,"43-5051","491","Mideast"
"37","male",28,"mix","no",1,"native","never married",1,0,21,0,60000,40,49,"11-9121","611M1","Rocky Mountain"
"38","female",43,"asian","no",2,"native","married",5,2,20,0,23000,24,49,"25-1000","611M1","Far West"
"39","female",38,"white","no",1,"native","married",5,2,21,0,46000,40,49,"43-9061","92MP","Far West"
"40","male",52,"white","no",1,"native","married",2,0,20,0,84000,40,49,"11-9021","23","Southeast"
"41","female",23,"other","yes",1,"native","never married",3,0,19,1,3000,40,0,"13-1121","712","Far West"
"42","male",38,"white","no",1,"native","married",4,2,21,0,125000,60,49,"33-3050","92MP","Far West"
"43","female",49,"white","no",1,"native","divorced",1,0,18,0,70000,56,49,"33-3012","92MP","Great Lakes"
"44","female",25,"white","no",1,"native","never married",1,0,21,0,46000,45,49,"33-3021","92MP","Mideast"
"45","female",43,"AIAN","no",1,"native","widowed",6,5,19,1,35000,40,49,"43-1011","713Z","Rocky Mountain"
"46","male",35,"white","no",1,"native","married",2,0,20,0,1e+05,50,49,"55-9830","928110P1","Rocky Mountain"
"47","female",63,"white","no",4,"foreign-born","married",4,1,22,0,120000,50,49,"11-91XX","923","Southeast"
"48","female",19,"mix","no",1,"native","never married",1,-1,20,0,5000,12,26,"53-7065","44512","Great Lakes"
"49","male",35,"white","no",1,"native","married",5,3,16,0,60000,40,49,"33-3012","92MP","Far West"
"50","female",44,"asian","no",4,"foreign-born","married",5,2,21,2,95000,36,49,"29-1141","622M","Mideast"
"51","female",51,"asian","no",4,"foreign-born","separated",3,1,18,1,54000,40,49,"43-9061","92MP","Far West"
"52","female",44,"white","no",1,"native","married",4,2,22,0,90000,41,49,"11-3031","92M1","Mideast"
"53","female",61,"white","no",1,"native","divorced",1,0,16,0,44000,35,49,"13-1121","9211MP","Mideast"
"54","female",62,"white","no",1,"native","married",2,0,16,0,77000,40,49,"41-3021","9211MP","Great Lakes"
"55","female",40,"asian","no",1,"native","divorced",3,2,23,0,256000,60,49,"29-1240","622M","New England"
"56","male",63,"white","no",1,"native","married",2,0,22,0,55000,40,49,"21-1014","923","Rocky Mountain"
"57","female",51,"white","no",1,"native","married",3,0,20,1,18000,35,49,"25-9040","6111","Plains"
"58","male",19,"white","no",1,"native","never married",6,3,19,0,24000,25,49,"25-9040","6111","Far West"
"59","female",57,"white","no",1,"native","married",2,0,22,0,43000,40,49,"25-2020","6111","Southeast"
"60","male",62,"white","no",1,"native","married",2,0,18,0,47600,42,49,"11-9041","2213M","Plains"
"61","female",53,"white","no",1,"native","married",3,0,16,0,30000,40,49,"25-9040","6111","Mideast"
"62","male",54,"white","no",1,"native","married",4,1,20,0,110000,40,49,"33-1012","92MP","Mideast"
"63","male",41,"white","no",1,"native","married",3,1,20,0,60000,40,49,"33-3050","92MP","Plains"
"64","male",22,"white","no",1,"native","never married",1,-1,16,0,25100,30,49,"55-9830","928110P4","Far West"
"65","female",23,"white","no",1,"native","divorced",1,0,21,0,38000,50,39,"25-2020","6111","Rocky Mountain"
"66","female",37,"white","no",1,"native","married",4,2,22,0,90000,56,49,"11-9030","6111","Far West"
"67","male",54,"AIAN","no",1,"native","divorced",1,0,19,0,57000,40,49,"43-1011","923","Far West"
"68","male",52,"other","yes",4,"foreign-born","married",5,1,16,1,53000,40,49,"47-2031","92MP","Far West"
"69","female",47,"white","no",1,"native","married",2,0,20,0,37400,40,49,"43-3031","9211MP","Far West"
"70","female",61,"white","no",1,"native","divorced",1,0,16,0,68000,40,49,"43-5052","491","Southwest"
"71","female",53,"white","yes",1,"native","never married",6,0,21,1,45500,45,49,"31-1122","6241","Far West"
"72","male",42,"black","no",1,"native","married",3,1,19,0,72000,40,49,"47-2061","23","Plains"
"73","male",25,"white","no",1,"native","married",2,0,21,0,54000,65,26,"25-2030","6111","Rocky Mountain"
"74","female",43,"white","yes",1,"native","separated",2,1,19,1,29000,37,49,"25-9040","6111","Far West"
"75","female",25,"white","no",1,"native","married",2,0,20,0,59000,40,49,"31-2020","6216","Southeast"
"76","female",45,"white","no",1,"native","married",5,3,22,0,57000,50,49,"25-2020","6111","Southeast"
