"","sex","age","race","juv_fel","juv_misd","juv_other","priors","charge","two_year_recid"
"1",0,69,0,0,0,0,0,1,0
"2",0,34,0,0,0,0,0,1,0
"3",0,24,0,0,0,1,4,1,0
"4",0,23,0,0,1,0,1,1,1
"5",0,43,0,0,0,0,2,1,0
"6",0,44,0,0,0,0,0,0,0
"7",0,41,1,0,0,0,14,1,1
"8",0,43,0,0,0,0,3,1,0
"9",1,39,1,0,0,0,0,0,0
"10",0,21,1,0,0,0,1,1,0
"11",0,27,1,0,0,0,0,1,0
"12",0,23,0,0,0,0,3,0,1
"13",1,37,1,0,0,0,0,0,0
"14",0,41,0,0,0,0,0,1,0
"15",1,47,1,0,0,0,1,1,0
"16",0,31,0,0,0,0,7,1,0
"17",0,37,0,0,0,0,0,0,0
"18",0,25,0,0,0,0,3,1,1
"19",0,31,1,0,0,0,6,1,1
"20",0,31,1,0,0,0,5,1,0
"21",0,64,0,0,0,0,13,1,1
"22",0,21,0,0,0,0,1,1,1
"23",0,27,1,0,0,0,0,0,0
"24",1,21,1,0,0,0,0,1,0
"25",0,24,0,0,0,0,1,1,0
"26",0,43,1,0,0,0,1,0,0
"27",0,32,0,0,0,0,0,0,0
"28",0,27,0,0,0,0,8,1,0
"29",1,36,1,0,0,0,3,1,0
"30",0,26,0,0,0,1,5,1,1
"31",0,33,0,0,0,0,0,1,1
"32",0,30,1,0,0,0,9,1,1
"33",0,32,0,0,0,0,4,1,1
"34",0,55,1,0,0,0,0,1,0
"35",0,49,0,0,0,0,7,1,0
"36",0,26,1,0,0,2,6,0,1
"37",1,33,1,0,0,0,4,0,1
"38",0,24,1,0,0,0,1,0,0
"39",0,34,0,2,1,3,21,1,1
"40",0,29,1,0,0,0,0,0,0
"41",1,21,0,0,0,0,2,1,1
"42",0,51,0,0,0,0,2,0,0
"43",0,29,1,0,0,0,2,0,0
"44",1,51,0,0,0,0,7,1,0
"45",0,29,0,0,0,0,0,1,1
"46",0,25,1,0,0,0,9,0,1
"47",0,35,0,1,0,4,13,1,1
"48",0,49,1,0,0,0,0,0,0
"49",0,34,0,0,0,0,4,0,0
"50",0,29,0,0,0,0,0,1,0
"51",0,29,1,0,0,0,1,1,0
"52",1,28,0,0,0,0,0,1,0
"53",0,48,1,0,0,0,20,1,1
"54",1,63,0,0,0,0,1,1,0
"55",0,31,0,0,0,1,15,1,1
"56",0,24,0,0,0,0,2,1,0
"57",0,30,0,0,0,0,0,0,1
"58",0,49,0,0,0,0,4,0,0
"59",0,53,1,0,0,0,8,1,1
"60",0,35,0,0,0,0,5,1,0
"61",0,63,0,0,0,0,10,0,1
"62",0,27,0,1,1,2,15,1,1
"63",0,38,1,0,0,0,4,0,0
"64",0,22,0,0,0,1,1,1,0
"65",0,22,0,0,1,2,2,1,1
"66",0,29,0,0,0,0,4,1,1
"67",0,62,0,0,0,0,0,0,0
"68",0,27,0,0,1,0,6,1,1
"69",0,33,0,0,0,0,0,0,0
"70",1,56,0,0,0,0,0,0,0
"71",0,45,0,0,0,0,6,1,0
"72",0,22,0,0,0,0,1,1,0
"73",0,39,0,0,0,0,1,0,0
"74",0,29,0,0,0,0,5,1,1
"75",0,27,1,0,0,1,1,1,1
"76",0,40,0,0,0,0,2,1,0
"77",0,22,0,0,0,0,1,0,0
"78",0,22,1,0,0,0,0,1,1
"79",1,26,0,0,0,0,1,1,0
"80",0,27,1,0,0,0,1,1,1
"81",0,32,0,0,0,0,0,1,0
"82",0,41,0,0,0,0,1,0,0
"83",0,30,0,0,0,0,8,0,1
"84",0,50,0,0,0,0,0,1,0
"85",0,25,0,1,6,1,14,1,1
"86",0,20,0,0,0,0,0,1,1
"87",0,22,0,1,0,0,2,1,1
"88",0,23,0,0,0,1,2,0,1
"89",1,35,0,0,0,0,1,0,0
"90",0,36,0,0,0,0,9,1,1
"91",0,26,1,0,0,0,7,1,1
"92",0,21,0,0,0,0,1,1,1
"93",0,25,1,0,0,0,9,1,1
"94",0,71,0,0,0,0,12,0,1
"95",1,20,1,0,0,0,0,1,1
"96",0,39,1,0,0,0,2,1,0
"97",0,66,1,0,0,0,3,1,0
"98",1,54,1,0,0,0,0,0,0
"99",1,44,0,0,0,0,0,0,0
"100",0,19,0,0,0,0,1,0,0
"101",0,24,0,0,0,0,1,1,0
"102",0,30,0,0,0,0,1,1,0
"103",1,39,1,0,0,0,0,1,0
"104",0,24,1,0,1,2,8,1,1
"105",0,30,1,0,0,0,0,1,0
"106",0,31,1,0,0,0,0,0,1
"107",1,39,1,0,0,0,1,1,0
"108",0,59,0,0,0,0,14,1,1
"109",0,43,1,0,0,0,1,1,0
"110",0,21,0,0,0,0,3,1,1
"111",0,38,1,0,0,0,5,0,0
"112",0,34,1,0,0,0,0,1,1
"113",0,33,0,0,0,0,5,1,1
"114",0,37,0,0,0,0,3,1,0
"115",0,42,1,0,0,0,1,1,0
"116",0,41,0,0,1,0,10,1,1
"117",0,22,0,0,0,0,0,1,0
"118",0,33,0,0,12,2,28,1,1
"119",0,31,0,0,0,0,1,0,1
"120",1,30,0,0,0,0,1,1,0
"121",0,31,1,0,0,0,13,1,1
"122",0,27,0,0,0,0,3,1,1
"123",0,56,0,0,0,0,8,1,1
"124",0,52,1,0,0,0,3,0,1
"125",0,33,0,0,0,0,19,1,1
"126",1,64,1,0,0,0,2,0,0
"127",0,22,1,0,0,0,4,1,1
"128",0,42,1,0,0,0,6,1,0
"129",1,25,1,0,0,0,2,1,0
"130",0,30,1,0,0,0,1,0,0
"131",0,28,1,0,0,0,2,1,0
"132",1,37,0,0,0,0,2,0,0
"133",0,28,1,0,0,0,0,0,0
"134",1,24,0,0,0,0,0,0,0
"135",1,29,1,0,1,0,10,1,0
"136",0,44,1,0,0,0,2,0,0
"137",1,30,0,0,0,0,4,1,1
"138",0,32,0,0,0,0,3,1,1
"139",0,31,1,0,0,0,2,0,0
"140",0,31,0,0,0,0,1,0,0
"141",0,59,1,0,0,0,1,1,0
"142",1,45,1,0,0,0,4,1,0
"143",1,20,0,1,0,0,1,1,1
"144",1,43,1,0,0,0,0,0,0
"145",0,38,0,1,1,0,9,1,1
"146",0,32,0,0,0,0,11,1,1
"147",0,33,0,0,0,0,8,0,1
"148",1,31,0,0,0,0,0,1,0
"149",1,33,0,0,0,0,7,1,1
"150",0,27,0,0,0,0,2,1,1
"151",1,20,0,0,0,0,0,1,1
"152",1,26,1,0,0,0,0,0,1
"153",1,61,0,0,0,0,1,1,0
"154",0,52,0,0,0,0,13,1,1
"155",0,63,0,0,0,0,1,1,0
"156",1,32,0,0,0,0,4,1,1
"157",0,29,0,0,0,0,1,1,0
"158",1,46,0,0,0,0,1,1,0
"159",1,26,0,0,0,0,2,0,0
"160",0,55,0,0,0,0,3,0,0
"161",0,39,1,1,0,0,1,0,0
"162",1,30,1,0,0,0,3,1,1
"163",0,30,0,0,0,0,1,1,1
"164",0,48,1,0,0,0,2,0,0
"165",0,22,0,0,0,0,1,1,0
"166",0,46,1,0,0,0,6,1,0
"167",1,49,1,0,0,0,6,1,1
"168",0,31,1,0,0,0,0,1,1
"169",0,25,0,0,0,0,1,0,0
"170",0,23,0,0,0,0,0,1,0
"171",1,32,0,0,0,0,5,1,1
"172",0,52,0,0,0,0,2,0,0
"173",0,62,0,0,0,0,8,1,0
"174",1,37,1,0,0,0,6,1,1
"175",0,55,1,0,0,0,1,1,0
"176",0,31,0,0,0,0,8,1,1
"177",0,28,0,0,0,0,6,0,1
"178",0,54,0,0,0,0,2,1,0
"179",0,58,0,0,0,0,0,1,0
"180",0,78,1,0,0,0,1,0,0
"181",0,56,1,0,0,0,0,1,0
"182",0,24,0,0,0,0,0,1,0
"183",0,38,0,2,2,1,22,1,1
"184",0,22,0,0,0,0,1,1,1
"185",0,47,0,0,0,0,23,0,1
"186",0,23,0,0,0,0,0,0,0
"187",0,57,0,0,0,0,1,1,0
"188",1,38,1,0,0,0,2,1,1
"189",0,66,0,0,0,0,3,1,0
"190",0,45,1,0,0,0,8,0,0
"191",1,52,0,0,0,0,0,0,0
"192",0,32,0,0,0,0,13,1,1
"193",0,37,0,0,0,0,2,0,1
"194",0,39,1,0,0,0,0,1,0
"195",0,26,0,0,0,0,9,1,1
"196",0,45,1,0,0,0,2,1,0
"197",0,23,0,0,0,0,0,1,0
"198",0,34,0,0,0,0,2,0,0
"199",1,23,0,0,0,0,1,0,0
"200",0,36,0,0,0,0,2,0,0
"201",0,50,1,0,0,0,1,1,0
"202",1,37,1,0,0,0,0,0,0
"203",0,44,1,0,0,0,4,0,0
"204",1,35,0,0,1,0,23,1,1
"205",0,24,0,0,0,0,5,1,1
"206",0,26,0,0,0,0,2,1,1
"207",0,27,0,0,0,0,0,0,0
"208",1,28,0,0,0,0,0,1,1
"209",0,43,1,0,0,0,11,1,1
"210",1,28,1,0,0,0,7,1,1
"211",0,38,0,0,0,0,2,1,0
"212",0,27,1,0,0,0,2,0,0
"213",1,28,0,0,0,0,1,1,1
"214",0,56,1,0,0,0,7,1,0
"215",0,38,0,0,0,0,15,1,1
"216",0,28,0,0,0,0,2,0,1
"217",0,45,0,0,0,0,3,1,1
"218",0,28,0,0,0,0,0,0,0
"219",0,61,1,0,0,0,1,1,0
"220",1,51,1,0,0,0,0,0,0
"221",0,51,1,0,0,0,0,0,0
"222",0,36,0,0,0,0,1,0,0
"223",0,48,0,0,0,0,0,1,0
"224",0,37,1,0,0,0,4,1,0
"225",1,30,0,0,0,0,2,1,1
"226",1,41,0,0,0,0,5,0,1
"227",0,27,0,0,0,0,11,1,1
"228",0,37,0,0,0,0,0,0,0
"229",0,33,0,0,0,0,4,1,0
"230",0,54,0,0,0,0,11,1,1
"231",0,23,0,0,0,0,2,1,1
"232",1,26,0,0,0,0,2,1,0
"233",0,41,0,0,0,0,0,0,0
"234",0,52,1,0,0,0,0,1,0
"235",0,43,1,0,0,0,13,1,0
"236",0,52,0,0,0,0,0,1,0
"237",0,28,1,0,0,0,1,1,0
"238",0,30,0,0,0,2,11,0,1
"239",0,28,1,0,0,0,1,1,1
"240",0,22,0,0,0,0,0,1,0
"241",0,30,0,0,0,0,4,1,0
"242",0,25,0,0,0,0,4,1,0
"243",0,31,1,0,0,0,0,1,1
